"account","activities","low","calculated","start","end"
"GCOH3K5VUGDQTDER5U4SMTL3JRQEUFDM4ZGFJZMO6LWVMHFBIG43EILU","0","10700.0000001","10700.0000001","10700.0000001","10700.0000001"
"GD6UBHC5CBZ4YSKSYUVELO262WOSBVMK7C4G3YCWHLSSQNXHGIA4GZFD","0","10662.1010111","10662.1010111","10662.1010111","10662.1010111"
"GAQVS7MNFYRTYRZSPBJPBNHOE3UCHPWULPEB4YXIEL4G7NVNRJOTNQ4R","0","10607.3769699","10607.3769699","10607.3769699","10607.3769699"
"GAA5HNREZTKV26S7DNMI2UIRBPGDOWZVMFROGTBG44QMY3T4Z4JN36MK","0","10591.8487842","10591.8487842","10591.8487842","10591.8487842"
"GBZTNZPKLDWSBWUXQFKN3S7JURMSGSJLEA67RP57G2R2K4NNHKAUVF7F","0","10526.3157895","10526.3157895","10526.3157895","10526.3157895"
"GBC4HL7Z56CN2TDFT2Q57QKOJQ54QJESCUNHOFENWX442JBHF6ID6LZF","0","10523.0655806","10523.0655806","10523.0655806","10523.0655806"
"GCJ47EWCAF4PPPEPAA6A642PTVJ2GZOG7J4PTBV4JDKXEHKFYDOX7JL6","0","10515.000001","10515.000001","10515.000001","10515.000001"
"GCHTG3JW6PHQDB7VLPZOY4YOGVLQY5ZLTX4T6UGPLRO5YNHOFMC3ACQD","0","10504.08","10504.08","10504.08","10504.08"
"GBGVGLGJYF5B7ALMNCY4PJ7U2FGZ472TKAQ555VOZ57AM3RMTYFDI7EI","1","10500.0099993","11000.0099993","10500.0099993","11000.0099993"
"GDEAJGPL3OT3GSGVMUCJOJHOTIBGH7H56E762UTRMYHUS2QBXVDNNFQN","0","10499.5642487","10499.5642487","10499.5642487","10499.5642487"
"GD7J67IJB4OZG5RCF3ZJZNOV3TYBLF7ZEBMKZA3NNNIIWCYTKLVNLZQC","0","10424.4606569","10424.4606569","10424.4606569","10424.4606569"
"GBJVFNHCXF5Y6CUUZELAVNKISAZJYHRWFEMH6MTBSWBYSWZ35KQL5K6O","0","10405.0060422","10405.0060422","10405.0060422","10405.0060422"
"GCB2TVD4ZMI4NX64P75F5PUYM6LG37LMHVZVE5TBENSP7IRRR4ZSARDU","0","10361.81","10361.81","10361.81","10361.81"
"GAMFJ5HHGDY5CF6EGCPS45FIDJSURLZYF4WYJGNKEFQ6OXH5ZF6HAFMX","0","10350.6967445","10350.6967445","10350.6967445","10350.6967445"
"GCTADYLAITADF4ADXOS6UTH4KH4QTRZJV7WXGDJTEJFYQRNCRDTHEWNG","0","10342.4984833","10342.4984833","10342.4984833","10342.4984833"
"GD4YCVQR75FQS6WPGZEW6WM3BFMVLPTEZOZLXHYY4NJOSZ253VXEO76A","0","10334.9300309","10334.9300309","10334.9300309","10334.9300309"
"GDJPLXHKNYJZ5OOUYMNZCPD7XNJYORJ5QU6ADN2V7V2SVKTBD3RBF2EL","0","10327.8181015","10327.8181015","10327.8181015","10327.8181015"
"GCVPVGE563GFNFYQCBV5XCIPQITPH3JE34YCAISV626PI5OMMRIIMUGE","0","10303.9739344","10303.9739344","10303.9739344","10303.9739344"
"GBXX767WKJQNEZ2TNHKCMDBYXJURXVNYZNAI5NE5OW6ZW7HDF3HB2LB6","0","10299.238405","10299.238405","10299.238405","10299.238405"
"GDHANKLUMSQGH76E6AFUAJBSYQZIWFELTG64ZZ6Y5MGBHLL6CHQY4ASU","0","10270","10270","10270","10270"
"GAOGEZIFVKYZSKRLJPMAXFQALNVVF2F57KIZ5FDJNDGCDTSUOML6TOKO","0","10224.15","10224.15","10224.15","10224.15"
"GCKMBL4RAE52BBQWIVNM4FU3AHZPCXQ3O7BXZ2MDSBHXGUMXAZC7DR6X","0","10219.5423824","10219.5423824","10219.5423824","10219.5423824"
"GAAOSKBBOKTNK6WQXJGTEWSKJCBECAVPGKHPEYITBN2VUY6MLJO5R3KP","0","10211.629996","10211.629996","10211.629996","10211.629996"
"GCXMBH2NWOQBTWMGTUS4FMJXFH3ZXEHOTTA52C6A6C6TE6HXPNXN4LLW","0","10205.84","10205.84","10205.84","10205.84"
